Review,Rating,Translation,,Age,Disability,Emotional,Gender,Language,Location,Privacy,Socioeconomic,Miscellaneous,,Bug Report,Feature request,User Experience,Other
"Boha jeho, zatímco třeba Mapy.cz jedou neustále na základě polohy, tak tenhle vehikl potřebuje bluetooth a ještě navíc se musí nastavit telefon tak, aby nepoužíval žádné režimy úspory baterie. Běžný smrtelník si ji nainstaluje, ale pak mu ji stejně telefon může ""uspat"", protože nezvládne nastavení telefonu. Prostě mysleli to dobře a dopadlo to jako vždycky. Dodatek: pokud vypnete bluetooth při používání a následně ho zapnete (ať už ručně, nebo povolením přes aplikaci), tak oznámení o tom, že eRouška je neaktivní zůstane.",1,"His god  while for example Mapy.cz runs constantly based on location  this vehicle needs bluetooth and even more so the phone must be set so that it does not use any battery saving modes. An ordinary mortal will install it  but then the phone can ""put it to sleep"" anyway  because he will not be able to set up the phone. They just meant well and it turned out as always. Addendum: if you turn off bluetooth during use and then turn it on (either manually or by enabling it via the application)  the notification that the eToucher is inactive will remain.",,,,,,,,1,,,,,,1,
"Problém je, že ta pidi skupinka lidí, kteří si něco do mobilu nainstalují, se ještě dělí mezi Mapy a tuto, vzájemně nekompatibilní. Lidí, kteři si dokáží přečíst zde reakce autorů, je zoufale málo a kvalitní nápovědu s popisem funkce už jen pár jedinců. Pro takové lidi něco tvořit, musí být krapet frustrující :-( Oceňuji ochranu soukromí, nesledování polohy, možnost monitoring snadno, třeba na noc vypnout. Rozumný popis, jak se poprat s různými spořiči baterie. Díky!",5,The problem is that the group of people who install something on their mobile phone is still divided between Maps and this one  which is incompatible with each other. There are desperately few people who can read the authors' reactions here  and only a few individuals have good help with describing the function. For such people to create something  it must be frustrating :-( I appreciate the privacy  not tracking the location  the ability to monitor easily  even for the night to turn off. A reasonable description of how to deal with various battery savers. Thanks!,,,,,,,,1,,,,,,,1
"Super, tleskám za rychlost vývojářům a pokrytí ochrany údajů.",5,Great  I applaud the speed of the developers and data protection coverage.,,,,,,,,1,,,,,,,1
Proč my to nechce zbirt data ubec se my to nezobrazuje jen že je aktivní ale když kliknu na moje data tak se my nic neukazuje jen navod pro Xiaomi ale aktivní je,3,Why we don't want to collect data at all we don't see it just that it's active but when I click on my data we don't show anything just a guide for Xiaomi but it's active,,,,,,,,1,,,,,,1,
"""Na rozdíl od jiných aplikací eRouška nesleduje a nesbírá informace o vaší poloze"" jak to, že si tedy aplikace po zapnutí vyžádá přístup k poloze zařízení? Jen bych chtěl vyjádření, aplikaci na 100% podporuji, ale toto mě zaráží.",4,"""Unlike other applications  eRouška does not monitor and collect information about your location"" how is it that the application requests access to the device's location when it is turned on? I would just like a statement  I support the application 100%  but this strikes me.",,,,,,,,1,,,,,,,1
"The same overlap notification keeps popping up every couple of hours(or every time there is a sync with the database) even tough I keep marking it as not relevant, making the app tiresome and annoying.",1,The same overlap notification keeps popping up every couple of hours(or every time there is a sync with the database) even tough I keep marking it as not relevant  making the app tiresome and annoying.,,,,1,,,,,,,,,,,1
Can this be usefull in other countries say India,4,Can this be usefull in other countries say India,,,,,,,1,,,,,,,,1
"_ ________ _________ _ __ ____ _____. ____ ___________ ___________, __ ________ _____, __ ____ ___ ___ ___________.",1,Unfortunately  I don't know Hebrew. I am glad to use the application  but my lack of knowledge of the language does not give me this opportunity.,,,,,,1,,,,,,,,,1
"I installed, but the menu is in idis. And if he has English, I have no idea where to set it.ok...i try.",3,I installed  but the menu is in idis. And if he has English  I have no idea where to set it.ok...i try.,,,,,,1,,,,,,,,1,
"Please, do you have a english version?",5,Please  do you have a english version?,,,,,,1,,,,,,,,,1
"Very simple, just enable access to your phone's location.",4,Very simple  just enable access to your phone's location.,,,,,,,,1,,,,,,,1
_________ ______ __ ______ ____ ____ __ ____ ___ ____ _____. ____ ____ __ ______ _______ ____.,1,The app leaves the location open almost all the time and it devours the battery. I would be happy to correct the rating when the bug is fixed.,,,,,,,,1,,,,,,1,
"En français svp, merci déjà.",1,In French please  thank you already.,,,,,,1,,,,,,,1,,
"En français svp, merci déjà.",1,In French please  thank you already.,,,,,,1,,,,,,,1,,
"Kol Hakavod! Great idea, great UIX. Just please make font bigger for older eyes. Devs are responsive, currently app doesn't cross-check *previous* 14 day GPS - only starts collecting history from time of download but developers seem to be working on it. Add option to manually input past location for people who don't carry a phone on Shabbat /walking dog etc",4,Kol Hakavod! Great idea  great UIX. Just please make font bigger for older eyes. Devs are responsive  currently app doesn't cross-check *previous* 14 day GPS - only starts collecting history from time of download but developers seem to be working on it. Add option to manually input past location for people who don't carry a phone on Shabbat /walking dog etc,,1,,,,,,,,,,,1,1,
"Kol Hakavod! Great idea, great UIX. Just please make font bigger for older eyes. Devs are responsive, currently app doesn't cross-check *previous* 14 day GPS - only starts collecting history from time of download but developers seem to be working on it. Add option to manually input past location for people who don't carry a phone on Shabbat /walking dog etc",4,Kol Hakavod! Great idea  great UIX. Just please make font bigger for older eyes. Devs are responsive  currently app doesn't cross-check *previous* 14 day GPS - only starts collecting history from time of download but developers seem to be working on it. Add option to manually input past location for people who don't carry a phone on Shabbat /walking dog etc,,,,,,1,,,,,,,1,,
"Is this app is only for Israel? That's too bad, I thought it's for global use. Good initiative though.",2,Is this app is only for Israel? That's too bad  I thought it's for global use. Good initiative though.,,,,,,,1,,,,,,,,1
English version?,2,English version?,,,,,,1,,,,,,,,,1
"Data pooling from Google should be more than 14 days. Or could be an option. 14 days, month, 2 months.",5,Data pooling from Google should be more than 14 days. Or could be an option. 14 days  month  2 months.,,,,,,,,1,,,,,,,1
"___ _____ __ _____, _____ ___ _____ __________ _____ ______. _______ _______ ___ ____ ______ ____. _____ _______ ____, ___ ___ ___ ___..... ____ __ ______ ______!",5,A bit misses the point  as it does not use location data history. The overlaps are calculated from the moment of installation only. Now that most of us are home  it has no real value ..... thanks for the quick reply!,,,,,,,,1,,,,,,,1
"2 metre yanımda ki ko_um pozitif oldu_unu hastaneye yataca_ını söyledi bu uygulama neden bunu göstermiyor ,hala dü_ük riskli bölge gösteriyor nasıl uygulama bu..aradan 10 gün geçti öbür kom_u da hastalandı oda hastanede yattı bu uygulama niye göstermiyor...",1,He said that the harness next to me was positive  he said he would go to the hospital  why this application does not show this  it still shows a low-risk area. 10 days have passed  the other neighbor got sick  the room was hospitalized  this application does not show why ...,,,,,,,1,,,,,,,,1
Birçok özellik çalı_mıyor. Birçok farklı konumda hep aynı bilgileri veriyor. Bence durumun ciddiyetini anlamayanlara GÖZ korkusu olsun diye hazırlanmı_. Her ne kadar iyi niyetli olsa da hiç güven vermiyor.,3,Many features don't work. It always gives the same information in many different locations. I think those who do not understand the seriousness of the situation are prepared for fear of EYE. Although he has good intentions  he does not give any confidence.,,,,,,,1,,,,,,1,,
Mrb ben ankaradan ismail uygulamayı kullanamıyorum dogrulama kodu gelmiyor bu uygulama sadece istanbul damı uygulanıyor,1,Mrb  I cannot use the ismail application from Ankara. The verification code is not provided. This application is only applied to Istanbul Dami.,,,,,,,1,,,,,,,,1
"Inutile... La maggior parte dei telefoni non comunica tra loro , 2 la dovrebbero scaricare tutti quindi se vogliamo utilizzarla bene rendetela obbligatoria con verifica di posizione accertata. Per i detrattori non venite a dirmi violazione della privacy anche perché quando fate recensioni sui posti dove andate a mangiare che fate? Bisogna migliorarla al momento una stella",1,Useless ... Most phones do not communicate with each other  2 everyone should download it so if we want to use it well make it mandatory with verified position verification. For the detractors do not come to tell me violation of privacy also because when you do reviews on places where you go to eat what do you do? We need to improve it at the moment a star,,,,,,,,1,,,,,,,1
L'ho dovuta reinstallare 2 volte in tempi diversi. Ogni tanto mi richiede i dati,2,I had to reinstall it 2 times at different times. Every now and then he asks me for data,,,,,,,,1,,,,,,,1
"Peccato. La gente ormai non si fida più. Doveva essere tassativamente obbligatoria e compatibile anche con i vecchi modelli NON android. X) ...purtroppo, a cosa serve se uno è contaggioso e non ha l'app? Si doveva dare a TUTTI, quel braccialetto bluetooth dive, l'app, ha sicuramente tratto l'idea. :/",5,Sin. People no longer trust. It had to be mandatory and compatible even with old NON android models. X) ... unfortunately  what good is it if one is contagious and doesn't have the app? You had to give EVERYONE  that bluetooth dive bracelet  the app  he definitely got the idea. : /,,,,,,,,,1,,,,,,1
"Per tutti coloro i quali stanno riscontrando problemi con le vecchie versioni di EMUI (Huawei), consiglio di disabilitare la gestione automatica dell'app da parte del sistema di risparmio energetico in quanto Huawei di default va a chiudere tutte quelle app che non apriamo sempre.Poi, una volta aperta l'app bisogna andare in home di sistema, spingere nuovamente il tasto home per aprire il multitasking e fare uno swipe down sull'app immuni, così non chiuderà più da sola (apparirà un lucchetto)",5,For all those who are experiencing problems with old versions of EMUI (Huawei)  I recommend disabling the automatic management of the app by the energy saving system as Huawei by default closes all those apps that we do not always open. Then  once the app is open  you need to go to the home system  push the home button again to open multitasking and swipe down on the immune app  so it will no longer close by itself (a padlock will appear),,,,,,,,,1,,,,,,1
"App tecnicamente allo stato dell'arte, niente da dire. Consuma quasi niente di batteria, e al contrario di quanto dicono alcuni non utilizza assolutamente il GPS. Una icona di stato nella barra delle notifiche, anche opzionale, non sarebbe male. Di fatto ci si dimentica di averla installata.",5,Technically state of the art app  nothing to say. It consumes almost nothing of battery  and contrary to what some say it does not use GPS at all. A status icon in the notification bar  even optional  wouldn't hurt. In fact  you forget you have installed it.,,,,,,,,1,,,,,,1,
Ma se lapp funziona con bluetooth perché devo attivare geolocalizzazione? Allora non è vero che non vengo controllato nei miei spostamenti. Chi mi risponde?,1,But if the app works with bluetooth why do I have to activate geolocation? So it is not true that I am not monitored in my movements. Who answers me?,,,,,,,,1,,,,,,,1
Poca chiarezza. Chiede il GPS quando non avrebbe dovuto chiederlo. Nelle impostazioni delle app risulta non modificabile l'autorizzazione concessa . Cosa estremamente negativa!,1,Little clarity. He asks for GPS when he shouldn't have asked. The granted permission cannot be changed in the app settings. Extremely bad thing!,,,,,,,,1,,,,,,,1
"Non ho capito perché se il GPS non serve, l'applicazione mi chiede di tenerlo acceso... È un problema del mio telefono?",3,I don't understand why if the GPS is not needed  the application asks me to keep it on ... Is it a problem with my phone?,,,,,,,,1,,,,,,,1
"Dalla documentazione tecnica pubblicata su GitHub (disponibile in inglese anche per i meno esperti) sembra proprio che le logiche sulle quali è strutturato il funzionamento di questa app siano adatte a tutelare la privacy di ciascun utente. Nutro qualche timore circa l'affidabilità del segnale Bluetooth, dato che questo potrebbe essere ostruito da qualsiasi oggetto (ivi compresi i corpi umani). Ad ogni modo pare un'app fatta bene, e non la solita schifezza parastatale che mi sarei aspettato.",5,From the technical documentation published on GitHub (available in English even for the less experienced) it seems that the logic on which the functioning of this app is structured are suitable for protecting the privacy of each user. I have some concerns about the reliability of the Bluetooth signal  as it could be obstructed by any object (including human bodies). In any case  it seems an app done well  and not the usual parastate crap that I would have expected.,,,,,,,,1,,,,,,,1
"Un'app che non serve a niente, se non a farti stare in pensiero. Per rispettare la privacy di non si sa cosa, dato che ogni app social geolocalizza e memorizza i tuoi spostamenti, hanno fatto una cosa inutile. Non ti dice nulla: chi cosa come dove quando perché. Né ti mette in contatto con l'asl di competenza per avere un tampone e visite regolari. Serve solo a loro, per farti autochiudere in casa cosí che non si debbano preoccupare di te. Scaricata sul telefono di riserva che rimane a casa.",1,An app that is useless  if not to make you worry. To respect the privacy of no one knows what  given that every social app geolocates and stores your movements  they have done a useless thing. It tells you nothing: who what how where when why. Nor does it put you in contact with the local health authority to have a swab and regular visits. It's just for them to lock you up in the house so they don't have to worry about you. Downloaded to the spare phone that stays at home.,,,,,,,,1,,,,,,,1
Penso possa essere utile assieme a tutti gli altri dispositivi e comportamenti suggeriti per la prevenzione e contenimento del virus. Solo che fino ad ora ce la siamo scaricata in quattro gatti senza pensare agli anziani o meno anziani che non hanno telefonino adeguati.,2,I think it can be useful together with all the other devices and behaviors suggested for the prevention and containment of the virus. Except that so far we have dumped it in four cats without thinking of the elderly or not elderly who do not have adequate phones.,,1,,,,,,,1,,,,,,1
Togliete la geolocalizzazione,3,Remove the geolocation,,,,,,,,1,,,,,1,,
"Discriminante perché non scaricabile su diversi modelli di cellulare, ad esempio IPhone 6, 5s e precedenti. Telefoni ancora in circolazioni e posseduti ancora da molte persone. Perché sia usata da tutti è indispensabile una versione compatibile con tutti gli Smartphone.",1,Discriminating because it cannot be downloaded on different mobile phone models  such as IPhone 6  5s and earlier. Phones still in circulation and still owned by many people. A version compatible with all Smartphones is essential for it to be used by everyone.,,,,,,,,,1,,,,,,1
"Meglio ""cedere"" per un po' di tempo e un po' di privacy sugli spostamenti oppure perdere la propria vita e quella degli altri??? Poi sono del parere che chi non ha nulla da nascondere non ha paura di essere geolocalizzato e/o installare e usare una app SALVAVITA! Questa app dovrebbe essere obbligatoria come lo è stata la dichiarazione per gli spostamenti durante la chiusura delle attività altrimenti non ce ne usciremo più dalla pandemia. Un altro stop l'Italia non se lo può permettere!!!",1,"Better to ""give in"" for some time and a little privacy on the move or lose your life and that of others ??? Then I am of the opinion that those who have nothing to hide are not afraid of being geolocated and / or installing and using a LIFE-SAVING app! This app should be mandatory as was the declaration for travel during the closure of the activities otherwise we will not get out of the pandemic anymore. Another stop Italy cannot afford it !!!",,,,,,,,1,,,,,,,1
"Per favore, scaricatela. Serve davvero a tutti e non è da sottovalutare! Non mettiamo la politica in questo contesto: chi si iscrive a Tik Tok e posta filmati ha dato il pieno potere agli sviluppatori e proprietari cinesi!!! Mi piace, intuitiva e ben strutturata. Reputo giusti i tanti limiti imposti dalla legge sulla privacy, ma credo che di fronte ad emergenze di questo tipo si dovrebbe avere un potere assoluto limitato al tempo della pandemia. Complimenti agli sviluppatori.",5,Please download it. It really serves everyone and should not be underestimated! Let's not put politics in this context: whoever signs up with Tik Tok and posts videos has given full power to Chinese developers and owners !!! I like it  intuitive and well structured. I believe that the many limits imposed by the privacy law are right  but I believe that in the face of emergencies of this type  absolute power should be limited to the time of the pandemic. Kudos to the developers.,,,,,,,,1,,,,,,,1
"L' applicazione è disponibile momentaneamente solo per 4 regioni, nei prossimi giorni in tutta Italia",5,The application is temporarily available only for 4 regions  in the next few days throughout Italy,,,,,,,1,,,,,,,,1
Sono 20 anni che utilizziamo Google (che memorizza posizione usi preferenze e consumi di tutti) e la gente fa storie per un app che aiuta la collettività.. fatevi meno segx mentali e pensate allo scopo di questa app. Scaricatela...,5,We have been using Google for 20 years (which stores the location  uses  preferences and consumption of everyone) and people make a fuss about an app that helps the community .. make yourself less mental and think about the purpose of this app. Download it ...,,,,,,,,1,,,,,,,1
"Buongiorno non so a quale operatore sanitario dovrei comunicare il codice e come. Grazie Buongiorno sto ancora aspettando una risposta, in più ho scoperto che non rimane salvata la provincia de me selezionata.... Perché? Grazie",1,Hello I do not know to which healthcare provider I should communicate the code and how. Thanks Good morning I'm still waiting for an answer  plus I discovered that the province I selected is not saved .... Why? Thank you,,,,,,,1,,,,,,,,1
"Huawei p9 lite: non funziona in background ed è complicata l'attivazione delle notifiche. Il problema principale è ovviamente il fatto che non funzioni in background. Pensate anche che c'è gente con smartphone ""antichi""!",1,"Huawei p9 lite: it does not work in the background and the activation of notifications is complicated. The main problem is obviously the fact that it doesn't run in the background. Also think that there are people with ""old"" smartphones!",,,,,,,,,1,,,,,1,
Scaricata senza problemi.. consiglio a tutti di installarla.. non lede la privacy di nessuno ed e utile in caso di vicinanza di contagiati. Utile per evitare luoghi a rischio.,5,Downloaded without problems .. I recommend everyone to install it .. it does not affect anyone's privacy and is useful in case of proximity to infected people. Useful for avoiding places at risk.,,,,,,,,1,,,,,,,1
"App hat auf meinem alten Smartphone gar nicht funktioniert (gabs nicht zum runterladen). Auf dem neuen Smartphone muss das GPS eingeschalten sein, obwohl offiziell keine Standortdaten verwendet werden. Schon komisch! Kein Wunder, dass die App kaum verwendet wird.",1,The app did not work at all on my old smartphone (not available for download). The GPS must be switched on on the new smartphone  although officially no location data is used. Funny! No wonder the app is rarely used.,,,,,,,,1,1,,,,,,1
"Installarla tutti e non nascondetevi dietro la scusa della privacy per non farlo, qui si parla del bene e della salute collettiva!",5,Install it all and do not hide behind the privacy excuse not to do it  here we are talking about good and collective health!,,,,,,,,1,,,,,,,1
L'app non supporta le vecchie versioni di Android.,1,The app doesn't support older Android versions.,,,,,,,,,1,,,,,,1
"Sicura per la privacy, se la utilizzassero tutti si avrebbe una potente arma contro il Coronavirus! Ogni settimana ti fa un riassunto, necessita solo del bluetooth accesso.",5,Safe for privacy  if everyone used it you would have a powerful weapon against the Coronavirus! Every week it gives you a summary  it only needs bluetooth access.,,,,,,,,1,,,,,,,1
Dalle informazioni lette ritengo che sia un ottimo sistema che cautela tutti e non viola la privacy.,5,From the information I read  I think it is an excellent system that cautions everyone and does not violate privacy.,,,,,,,,1,,,,,,,1
"Applicazione totalmente anonima e che garantisce il massimo rispetto della privacy. Non registra né gli spostamenti né i luoghi d'incontro. Memorizza unicamente dei codici anonimi corrispondenti agli smartphone con cui entriamo in contatto tramite Bluetooth. La segnalazione di una nostra eventuale positività è volontaria, e permette a chi ha installato l'applicazione di sapere se rientra nella lista dei nostri codici tracciati.",5,Totally anonymous application that guarantees maximum respect for privacy. It does not record either the movements or the meeting places. It only stores anonymous codes corresponding to smartphones with which we come into contact via Bluetooth. The reporting of our possible positivity is voluntary  and allows those who installed the application to know if it falls within the list of our tracked codes.,,,,,,,,1,,,,,,,1
"Installarla è un dovere, e non mi parlate di privacy, che sui vostri telefoni avete installato app come Facebook whatsapp istagram ecc che vi tracciano e vendono i vostri dati a terzi, e questa che è anonima fate i professori della privacy, smettetela.",5,Installing it is a must  and you don't talk to me about privacy  that on your phones you have installed apps like Facebook whatsapp  istagram etc. that track and sell your data to third parties  and this is anonymous  you are professors of privacy  stop it.,,,,,,,,1,,,,,,,1
"Attenzione alla privacy. Il servizio di Immuni tiene attiva la posizione. Secondo la privacy policy nessun dato sulla posizione viene inviato ai server di Immuni. Tuttavia, avendo la posizione sempre attiva, Google/Android può raccogliere senza problemi i dati sulla nostra posizione. Quindi sì, Immuni non raccoglie i nostri dati sulla posizione, ma i nostri dati non sono al sicuro perché è Google a farlo. Chi invece tiene sempre la posizione attiva a prescindere (male!!), non deve preoccuparsi.",1,Attention to privacy. The Immuni service keeps the position active. According to the privacy policy  no location data is sent to Immuni's servers. However  having the location always active  Google / Android can collect data on our location without problems. So yes  Immuni doesn't collect our location data  but our data isn't safe because Google does it. Those who always keep the active position regardless (bad !!)  need not worry.,,,,,,,,1,,,,,,,1
Ho installato l app la. Trovo accattivante.. Ma poco immediata... Del tipo ammesso che io Abbia il corona o lo Abbia avuto...o sia stato un contatto... Dove dovrei metterlo i inserirlo come dato. Non trovo neanche chiaro che utilità abbia il codice da dire all operatore... E mio non è privacy... E mio... Quindi all operatore di i miei dati... Comunque è da rivedere.. Bell idea ma da rivedere... Se volete un paio di idee le ho. Buon lavoro,1,I have installed the app there. I find it captivating .. But not very immediate ... Of the kind assuming I have the crown or have had it ... or was a contact ... Where should I put it i insert it as given. I don't even find it clear what use the code has to say to the operator ... And mine is not privacy ... And mine ... So to the operator of my data ... Anyway it needs to be reviewed .. Nice idea but to be reviewed ... If you want a couple of ideas I have them. good job,,,,,,,,1,,,,,,,1
Basta un po di dimestichezza e rispettare la privacy di ognuno anchd se segnalato dalla app.,4,Just a little familiarity and respect the privacy of everyone even if reported by the app.,,,,,,,,1,,,,,,,1
App.ben fatta e completa e non vedo questo problema x la vostra privacy? Ma se Google Facebook Instagram e Twitter sa tutto di voi che problema vi fate,5,App.well done and complete and I don't see this problem for your privacy? But if Google  Facebook  Instagram and Twitter know everything about you  what is your problem,,,,,,,,1,,,,,,,1
Se il sistema usa il Bluetooth perché mi chiede di attivare la posizione?,2,If the system uses Bluetooth why does it ask me to activate the location?,,,,,,,,1,,,,,,,1
only Thai language.. maybe farang not have covid?,1,only Thai language.. maybe farang not have covid?,,,,,,1,,,,,,,,,1
Now you can use in english,5,Now you can use in english,,,,,,1,,,,,,,,,1
"No English, so how can it be useful for those of us who don't know Thai?",1,"   No English, so how can it be useful for those of us who don't know Thai?  ",,,,,,1,,,,,,,,,1
App shoot use standard API provided by Google For better security reason.,1,App shoot use standard API provided by Google For better security reason.,,,,,,,,1,,,,,1,,
Should provide English and Chinese languages please.,1,Should provide English and Chinese languages please.,,,,,,1,,,,,,,1,,
App shoot use standard API provided by Google For better security reason.,1,App shoot use standard API provided by Google For better security reason.,,,,,,,,1,,,,,1,,
English!,4,English!,,,,,,1,,,,,,,,,1
No english,1,No english,,,,,,1,,,,,,,,,1
"ENGLISH option now available after you download the app. Easy to install and register. Only a few easy questions, takes about 1 minute. Very easy to use and I'm happy I downloaded this app.. __",4,"   ENGLISH option now available after you download the app. Easy to install and register. Only a few easy questions, takes about 1 minute. Very easy to use and I'm happy I downloaded this app.. __  ",,,,,,1,,,,,,,,1,
Should have language choices,4,Should have language choices,,,,,,1,,,,,,,1,,
"Add english, please!",4,"   Add english, please!  ",,,,,,1,,,,,,,1,,
DO NOT INSTALL. NO ENGLISH,1,DO NOT INSTALL. NO ENGLISH,,,,,,1,,,,,,,,,1
"I think only those not infected will use this app? Other than privacy, how do you ensure an infected person is not subject to public mob attack? If the person is infected, I think he/she will not use this app because of the worry what the public will do to them if nearby persons discover he was infected. He might just get weird eyes looking at it, and probable discriminative whispering, or more serious words of attack?",1,"   I think only those not infected will use this app? Other than privacy, how do you ensure an infected person is not subject to public mob attack? If the person is infected, I think he/she will not use this app because of the worry what the public will do to them if nearby persons discover he was infected. He might just get weird eyes looking at it, and probable discriminative whispering, or more serious words of attack?  ",,,,,,,,1,,,,,,,1
"Tiada kesan bleutooth , lokasi sudah buka. Ingat kan jenis camera dpat kesan virus.. Teknologi bleutooth x berksan.ingat kan ada bunyi alarm klu dpt detect..____ Pemasa sj ada ni..",2," No bleutooth effect, location is open. Remember the type of camera can be detected by a virus .. Bleutooth x technology works. Remember there is an alarm sound that can detect..____ The timer is here .. ",,,,,,,,1,,,,,,,1
"The apps asking for location on, do I need to enable data line to use it? Thanks.",3,"   The apps asking for location on, do I need to enable data line to use it? Thanks.  ",,,,,,,,1,,,,,,,1
i wish that this apps can also link with the immigration counter all over malaysia so that it can highlight users who come back from oversea.,5,i wish that this apps can also link with the immigration counter all over malaysia so that it can highlight users who come back from oversea.,,,,,,,1,,,,,,1,,
Shocking. I scan codes and it tells me they aren't recognised. The app doesn't give me any option to search for a location to check in. Like other users I've had notifications saying I've been in contact but when I unlock my phone and go to the app there is no option to view notifications. Rushed app with not alot of thought put into it,1,Shocking. I scan codes and it tells me they aren't recognised. The app doesn't give me any option to search for a location to check in. Like other users I've had notifications saying I've been in contact but when I unlock my phone and go to the app there is no option to view notifications. Rushed app with not alot of thought put into it,,,,,,,1,,,,,,,1,
"Really bad. I can't believe this cost £35 million to make. I received a notification even though I've never scanned in anywhere, been to pubs or where crowds are. The notification then disappeared when face recognition unlocked my phone. edit: obviously the developer isn't familiar with their own app and just gives a generic response to bad reviews. messages are nowhere at all in the app. the list of items to click on are venue check in check symptoms read latest advice (external link) about this app enter test result. I don't want to be fobbed off with a link to read. I want to read the list of important notifications. This app is lucky to get an automatic 1 star. £35 million...ridiculous.",1,"   Really bad. I can't believe this cost £35 million to make. I received a notification even though I've never scanned in anywhere, been to pubs or where crowds are. The notification then disappeared when face recognition unlocked my phone. edit: obviously the developer isn't familiar with their own app and just gives a generic response to bad reviews. messages are nowhere at all in the app. the list of items to click on are venue check in check symptoms read latest advice (external link) about this app enter test result. I don't want to be fobbed off with a link to read. I want to read the list of important notifications. This app is lucky to get an automatic 1 star. £35 million...ridiculous.  ",,,,1,,,,,,,,,,1,
"To check in to a location you've visited, you have to use an NHS QR code rather than just check in using location. Not a single business I've visited in my area has had these codes on display which makes it seem pointless.",3,"   To check in to a location you've visited, you have to use an NHS QR code rather than just check in using location. Not a single business I've visited in my area has had these codes on display which makes it seem pointless.  ",,,,,,,1,,,,,,,,1
"Really bad app, it's not working properly, it doesn't show the area, you can not test your symptoms, it shows empty boxes.",1,"   Really bad app, it's not working properly, it doesn't show the area, you can not test your symptoms, it shows empty boxes.  ",,,,,,,1,,,,,,,1,
I am unable to see the alert of the area where I live. I have emailed you but no answer. I have tried to reinstall it but still the same issue. Update: I have uninstalled it and reinstalled it and I still have the same issue.,1,I am unable to see the alert of the area where I live. I have emailed you but no answer. I have tried to reinstall it but still the same issue. Update: I have uninstalled it and reinstalled it and I still have the same issue.,,,,,,,1,,,,,1,,,
"Symptoms are blank, so as the location loads of bugs.",2,"   Symptoms are blank, so as the location loads of bugs.  ",,,,,,,1,,,,,1,,,
__________________________________,1," If the system language is Chinese, the zip code cannot be passed, it needs to be changed to English, and then change back to Chinese after completion. ",,,,,,1,,,,,,,,,1
It's disappointing that it cannot support Huawei phone s. My friends and I are all international students from China. We all use Huawei. It's toooooo bad we cannot eat outlets.,1,It's disappointing that it cannot support Huawei phone s. My friends and I are all international students from China. We all use Huawei. It's toooooo bad we cannot eat outlets.,,,,1,,,1,,,,,,,,1
The application doesn't work if I change my locations!,1,The application doesn't work if I change my locations!,,,,,,,1,,,,,,,,1
"I am living in Newham area but I did not receive a code yet, not by post or email. Plus I am working as a care assistant .",3,"   I am living in Newham area but I did not receive a code yet, not by post or email. Plus I am working as a care assistant .  ",,,,,,,1,,,,,,,,1
"Wpisa_em post code w pracy, nast_pnie w domu próbowa_em razy kilka zmieni_ post code .. niestety nie ma opcji ustawie_ i zmian NOTE 8 .. JE_ELI MAM ZA STARY TELEFON .. LUDZKO__ POWINNA ROZDAWA_ NOWE GRATIS .. NOWE MODELE W CENIE SAMOCHODU CO KILKA MIESI_CY .. ARMAGEDDON !!!!!",1," I entered the post code at work, then at home I tried to change the post code a few times .. unfortunately there are no settings and changes NOTE 8 .. IF I HAVE AN OLD PHONE .. PEOPLE SHOULD GIVE OUT NEW FOR FREE .. NEW MODELS INCLUDED IN THE PRICE OF THE CAR EVERY SEVERAL MONTHS .. ARMAGEDDON !!!!! ",,,,,,,,,1,,,,,,1
"A basic app, poorly executed. Doesn't allow you to change your postcode or change you risk status based on your location.",2,"   A basic app, poorly executed. Doesn't allow you to change your postcode or change you risk status based on your location.  ",,,,,,,1,,,,,,,,1
"world beating' as long as you live in Isle of White or Newham. Ireland's got an app, why doesn't the rest of the UK? Maybe Dominic's gone back to Barnard Castle to test his eyes so can't give Boris the nod to release it.",1,"   'world beating' as long as you live in Isle of White or Newham. Ireland's got an app, why doesn't the rest of the UK? Maybe Dominic's gone back to Barnard Castle to test his eyes so can't give Boris the nod to release it.  ",,,,,,,1,,,,,,,,1
September 2020. Available in only 2 UK locations. Let that sink in.......,1,September 2020. Available in only 2 UK locations. Let that sink in.......,,,,,,,1,,,,,,,,1
"This app is not fit for purpose. I've had a notification on my phone 28/10 that ""I've been near someone..."" Tapped on it and there's nothing in the App. I'm on latest version. Also says that my postcode covers both England and Wales so doesn't give risk level. My postcode is exclusively in Wales. Cross border postcodes should have been taken into account when developing this system.",1,"   This app is not fit for purpose. I've had a notification on my phone 28/10 that ""I've been near someone..."" Tapped on it and there's nothing in the App. I'm on latest version. Also says that my postcode covers both England and Wales so doesn't give risk level. My postcode is exclusively in Wales. Cross border postcodes should have been taken into account when developing this system.  ",,,,,,,1,,,,,,,1,
Why? It would be useful if it stated it's only for the isle of man and Newham residents. Will this government ever get this resolved?,1,Why? It would be useful if it stated it's only for the isle of man and Newham residents. Will this government ever get this resolved?,,,,,,,1,,,,,,,,1
